lower_bounds,upper_bounds,mean_engagement,engagement_se,num_users_in_bin
0.0,86400.0,0.07670331682417575,0.001659107139100247,5373
86400.0,172800.0,0.04217623932288966,0.0014810355366467048,5355
172800.0,259200.0,0.033557638020290464,0.0013331608273702835,5330
259200.0,345600.0,0.030369814134243552,0.0012835652555886969,5306
345600.0,432000.0,0.027514583508300435,0.0012382984566417356,5292
432000.0,518400.0,0.025026438407400386,0.0011743108873781762,5273
518400.0,604800.0,0.02399455495932206,0.0011318386136125243,5249
604800.0,691200.0,0.023637538580246913,0.0011126552456522257,5220
691200.0,777600.0,0.020322712024910115,0.0010142543288097657,5192
777600.0,864000.0,0.020426831235882542,0.001019378231564228,5165
864000.0,950400.0,0.019800777979850467,0.0010097713138112244,5132
950400.0,1036800.0,0.01761664379533425,0.000902107110300512,5101
1036800.0,1123200.0,0.0175496613850797,0.0008735965191319289,5056
1123200.0,1209600.0,0.01715218683981149,0.0008584740129041612,5014
1209600.0,1296000.0,0.016522295076156147,0.0008436665603635159,4963
1296000.0,1382400.0,0.015883593159486016,0.000819562742115205,4900
1382400.0,1468800.0,0.01621467903651797,0.0008036627437524491,4852
1468800.0,1555200.0,0.015412320325354693,0.0007457771936981394,4772
1555200.0,1641600.0,0.01566452059145582,0.0007785734017224768,4431
1641600.0,1728000.0,0.015141153891233007,0.0008076446673702885,3950
1728000.0,1814400.0,0.01603802553263087,0.0008620368937648511,3522
1814400.0,1900800.0,0.017855271412229232,0.0010391802571899028,3011
1900800.0,1987200.0,0.01820078627564588,0.0011121240149506869,2493
1987200.0,2073600.0,0.022023445802337942,0.0014528919586100039,1882
2073600.0,2160000.0,0.03470685336976321,0.0033487584724776758,549
2160000.0,2246400.0,,,0
