,lower_bounds,upper_bounds,mean_engagement,engagement_se,num_users_in_bin
0,0.0,86400.0,0.0897592480930839,0.0007248201989565853,27779
1,86400.0,172800.0,0.04164303473755654,0.0005725104077113119,27776
2,172800.0,259200.0,0.03224070298832459,0.0005023733581202165,27776
3,259200.0,345600.0,0.026590780143262504,0.0004546796372794678,27776
4,345600.0,432000.0,0.02355008053848779,0.0004301123069741868,27776
5,432000.0,518400.0,0.021993291737337856,0.00042334019013858806,27776
6,518400.0,604800.0,0.020829996453106334,0.00041244652649791445,27776
7,604800.0,691200.0,0.019502688602193553,0.00039334855629040606,27775
8,691200.0,777600.0,0.018334676384305096,0.0003856775395310537,27775
9,777600.0,864000.0,0.017251613302742507,0.0003722631551579142,27774
10,864000.0,950400.0,0.016299355462342877,0.0003604129983573041,27774
11,950400.0,1036800.0,0.016203904564354086,0.00036232784357331067,27774
12,1036800.0,1123200.0,0.016855872398646214,0.000366882002161084,27774
13,1123200.0,1209600.0,0.017249393417504782,0.00037549008507060705,27774
14,1209600.0,1296000.0,0.01648291792683805,0.0003648472035489918,27774
15,1296000.0,1382400.0,0.016258031092228543,0.0003576972533193169,27774
16,1382400.0,1468800.0,0.015395613803477273,0.00034883010999051177,27774
17,1468800.0,1555200.0,0.014800044889438296,0.0003429599938132367,27774
18,1555200.0,1641600.0,0.014387941809324538,0.0003346413545346809,27773
19,1641600.0,1728000.0,0.014360124405876421,0.0003369496850053081,27772
20,1728000.0,1814400.0,0.014556817696851364,0.0003396449589974692,27771
21,1814400.0,1900800.0,0.014485375488470105,0.0003395772126865983,27770
22,1900800.0,1987200.0,0.013857483428693366,0.0003317049603736907,27770
