lower_bounds,upper_bounds,mean_engagement,engagement_se,num_users_in_bin
0.0,86400.0,0.05863069871159564,0.0016418017858948765,5045
86400.0,172800.0,0.028229364514086735,0.0014627221173626993,5031
172800.0,259200.0,0.02301398780469767,0.0013725813005006577,5008
259200.0,345600.0,0.020852342086125394,0.0013151049957412977,4991
345600.0,432000.0,0.018235000260719288,0.0012460955943365112,4972
432000.0,518400.0,0.015783534202989582,0.0011204023367511779,4953
518400.0,604800.0,0.014924720303009778,0.0011034206714793384,4921
604800.0,691200.0,0.014100056737508308,0.0010970132486644811,4904
691200.0,777600.0,0.012425425758887219,0.0009732874796451303,4878
777600.0,864000.0,0.01155992612476197,0.0009455349355536749,4843
864000.0,950400.0,0.011235190473443329,0.0009266386490981348,4815
950400.0,1036800.0,0.011188575271943495,0.000884512601289367,4777
1036800.0,1123200.0,0.010734819235162495,0.0008468018467340484,4734
1123200.0,1209600.0,0.009783564814814814,0.0008207258909051339,4680
1209600.0,1296000.0,0.00894847773535368,0.0007844103053863009,4627
1296000.0,1382400.0,0.00851499113345965,0.0007438623693796646,4574
1382400.0,1468800.0,0.008486543250837654,0.0007146943010458007,4521
1468800.0,1555200.0,0.008249585375204186,0.0006759100693610297,4444
1555200.0,1641600.0,0.008005551473589681,0.0006608706482168242,4083
1641600.0,1728000.0,0.008107720127228797,0.0007372766116709362,3633
1728000.0,1814400.0,0.008740834466764316,0.0008419288938341126,3186
1814400.0,1900800.0,0.009252253558067944,0.0008716221896347119,2683
1900800.0,1987200.0,0.009424950419821769,0.000909153391517413,2157
1987200.0,2073600.0,0.011645201601003394,0.0012179658430326525,1506
2073600.0,2160000.0,0.018970028285465623,0.002696559294039025,383
2160000.0,2246400.0,,,0
