,lower_bounds,upper_bounds,mean_engagement,engagement_se,num_users_in_bin
0,0.0,86400.0,0.08784499682121084,0.0007033166400923413,27934
1,86400.0,172800.0,0.04133469865476559,0.0005414940918303056,27934
2,172800.0,259200.0,0.03128406591330358,0.00047308640984442517,27934
3,259200.0,345600.0,0.02486295242224397,0.0004206848361947883,27934
4,345600.0,432000.0,0.021663873939095,0.00039341815428645203,27933
5,432000.0,518400.0,0.019683184377005534,0.0003728991161074736,27932
6,518400.0,604800.0,0.018338351721243654,0.0003602856050041134,27932
7,604800.0,691200.0,0.017257612036042487,0.00034519855643329306,27930
8,691200.0,777600.0,0.015698741728660277,0.000334028758040558,27930
9,777600.0,864000.0,0.014099852806619724,0.00030313458173246145,27930
10,864000.0,950400.0,0.013251040547798066,0.00029479613123635485,27930
11,950400.0,1036800.0,0.013220495435016112,0.0002942343358906117,27930
12,1036800.0,1123200.0,0.01359926850857302,0.0002965609231032765,27930
13,1123200.0,1209600.0,0.013768730274760976,0.000300311990075142,27930
14,1209600.0,1296000.0,0.013654050267013046,0.00030304630086139587,27929
15,1296000.0,1382400.0,0.012646242039715884,0.0002901415432083011,27928
16,1382400.0,1468800.0,0.011974650510789374,0.00027774616839119595,27927
17,1468800.0,1555200.0,0.011334505619147277,0.00026674066045698143,27927
18,1555200.0,1641600.0,0.01119629531818218,0.00026637798205638276,27926
19,1641600.0,1728000.0,0.011082910159488046,0.0002700961206326383,27925
20,1728000.0,1814400.0,0.010955514753670015,0.0002672097232691196,27924
21,1814400.0,1900800.0,0.011171483311846442,0.0002731855854472089,27924
