lower_bounds,upper_bounds,mean_engagement,engagement_se,num_users_in_bin
0.0,86400.0,0.07712083434380178,0.0015417848573028978,5498
86400.0,172800.0,0.04155036221235829,0.0013331444670435966,5482
172800.0,259200.0,0.03655734937819797,0.0012701171155583572,5465
259200.0,345600.0,0.03182758068734545,0.0011939681209557319,5452
345600.0,432000.0,0.027116978351831376,0.0010440261262622142,5426
432000.0,518400.0,0.02579076279068171,0.0010168472934952162,5396
518400.0,604800.0,0.02421080508474576,0.0009919353981325003,5369
604800.0,691200.0,0.022219627808988767,0.0009384851111664802,5340
691200.0,777600.0,0.02207754520419646,0.0009497919262767003,5299
777600.0,864000.0,0.02101872480652818,0.0009272632718333873,5274
864000.0,950400.0,0.020382421725849562,0.0009022436500628013,5238
950400.0,1036800.0,0.019485761015970753,0.0009018089396849558,5197
1036800.0,1123200.0,0.01836847998318458,0.0008080028181241399,5154
1123200.0,1209600.0,0.01826291003219351,0.000827859664007726,5108
1209600.0,1296000.0,0.017292333608360837,0.0007839313287509563,5050
1296000.0,1382400.0,0.017500866780877793,0.0007954453677894832,4994
1382400.0,1468800.0,0.016445452433412774,0.0007712890690390764,4942
1468800.0,1555200.0,0.017314945905027763,0.0007988553643839836,4856
1555200.0,1641600.0,0.0174182652640264,0.0008093349401540672,4444
1641600.0,1728000.0,0.017268303646094663,0.0008184088721603254,3986
1728000.0,1814400.0,0.01764965808993973,0.0008866366561485042,3595
1814400.0,1900800.0,0.018378333152429538,0.0009582252781759761,3071
1900800.0,1987200.0,0.020841580084721506,0.0011175871685385542,2588
1987200.0,2073600.0,0.023286709244001984,0.0013365018506867278,1942
2073600.0,2160000.0,0.03914751084153774,0.0032296250764404138,632
2160000.0,2246400.0,,,0
