,day_n,retained,users
0,1,4321,9026
1,2,3181,9023
2,3,2638,9023
3,4,2380,9022
4,5,2085,9018
5,6,1936,9017
6,7,1837,9016
7,8,1649,9015
8,9,1558,9012
9,10,1528,9011
10,11,1524,9009
11,12,1454,9005
12,13,1478,9000
13,14,1475,8996
14,15,1402,8993
15,16,1352,8992
16,17,1339,8960
17,18,1276,8648
18,19,1201,8257
19,20,1158,7934
20,21,1070,7608
21,22,1047,7295
22,23,987,6941
23,24,878,6540
24,25,831,6164
25,26,801,5801
26,27,732,5411
27,28,620,5052
28,29,462,3869
29,30,339,2837
