,day_n,retained,users
0,1,4338,9130
1,2,2752,9129
2,3,2205,9129
3,4,1895,9129
4,5,1620,9129
5,6,1535,9129
6,7,1426,9128
7,8,1279,9127
8,9,1247,9125
9,10,1159,9124
10,11,1152,9123
11,12,1069,9117
12,13,1075,9115
13,14,1058,9110
14,15,1107,9107
15,16,1021,9102
16,17,999,9069
17,18,902,8768
18,19,902,8408
19,20,859,8093
20,21,769,7736
21,22,732,7408
22,23,710,7071
23,24,649,6705
24,25,590,6337
25,26,529,5968
26,27,470,5576
27,28,452,5184
28,29,322,3963
29,30,221,2905
