,day_n,retained,users
0,1,3928,9101
1,2,2641,9099
2,3,2196,9098
3,4,1909,9097
4,5,1663,9094
5,6,1517,9093
6,7,1461,9090
7,8,1385,9089
8,9,1316,9087
9,10,1306,9087
10,11,1268,9085
11,12,1235,9082
12,13,1183,9081
13,14,1172,9078
14,15,1180,9072
15,16,1136,9066
16,17,1125,9033
17,18,1059,8735
18,19,1011,8365
19,20,959,8040
20,21,898,7701
21,22,841,7398
22,23,734,7072
23,24,683,6676
24,25,672,6306
25,26,570,5862
26,27,570,5521
27,28,510,5152
28,29,355,3945
29,30,255,2885
