,day_n,retained,users
0,1,3909,9283
1,2,2580,9282
2,3,2048,9280
3,4,1760,9279
4,5,1479,9276
5,6,1369,9275
6,7,1238,9271
7,8,1193,9270
8,9,1068,9270
9,10,1075,9269
10,11,991,9269
11,12,987,9269
12,13,921,9264
13,14,929,9263
14,15,913,9263
15,16,896,9262
16,17,869,9214
17,18,820,8918
18,19,770,8547
19,20,725,8227
20,21,735,7882
21,22,663,7557
22,23,577,7188
23,24,566,6786
24,25,517,6431
25,26,484,6006
26,27,435,5632
27,28,386,5260
28,29,277,3995
29,30,193,2946
